observation_id,schema_version,stage,environment_id,classifier,configuration_id,seed,phase,outer_repetition,inner_operation_count,measured_operation_count,record_count,measured_record_count,feature_count,warmup_calls,worker_pid,wall_time_sec,process_cpu_time_sec,start_rss_mib,end_rss_mib,absolute_peak_rss_mib,incremental_peak_rss_mib,selected_input_bytes,numpy_dense_nbytes,serialized_model_bytes,per_operation_latency_sec,per_record_latency_sec,throughput_records_sec,time_unit,rss_unit,size_unit,throughput_unit,measurement_kind,measurement_scope,measurement_provenance,derived_measurement_provenance,workload_sha256,model_sha256,feature_manifest_sha256,v06_lock_sha256,status,failure_type,failure_stage,failure_reason
v07d__inference__decision_tree__pairwise_correlation_filter_natural__s42__r01,v0.7-d-tier1-computational-1,V0.7-D,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,pairwise_correlation_filter_natural,42,inference,1,512,512,6000,3072000,42,3,9164,2.609119628999906,2.7891841699999995,154.50390625,154.87890625,154.87890625,0.375,2016132,2016000,3764,0.005095936775390442,8.493227958984069e-07,1177408.642308026,seconds,MiB,bytes,records/second,DIRECT_COMPUTATIONAL,prediction_only_model_loading_warmup_excluded,DIRECT_COMPUTATIONAL,DERIVED,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b3be72469205a79a9108a40d882b3664ddfa94c799065684a04dd89542f3f6a2,c355fe6d1f8ed5557b3f94f48cd0c4400d9f4a6894f52916c79a7721a912eef6,71dc92b8a34db1bb3c2f55a69e56f43733544329128ec60c5cdbbce2445d1604,SUCCESS,,,
v07d__inference__decision_tree__pairwise_correlation_filter_natural__s42__r02,v0.7-d-tier1-computational-1,V0.7-D,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,pairwise_correlation_filter_natural,42,inference,2,512,512,6000,3072000,42,3,9168,4.72920817600243,5.141779336999999,154.71484375,155.08984375,155.08984375,0.375,2016132,2016000,3764,0.009236734718754747,1.5394557864591244e-06,649580.2015204884,seconds,MiB,bytes,records/second,DIRECT_COMPUTATIONAL,prediction_only_model_loading_warmup_excluded,DIRECT_COMPUTATIONAL,DERIVED,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b3be72469205a79a9108a40d882b3664ddfa94c799065684a04dd89542f3f6a2,c355fe6d1f8ed5557b3f94f48cd0c4400d9f4a6894f52916c79a7721a912eef6,71dc92b8a34db1bb3c2f55a69e56f43733544329128ec60c5cdbbce2445d1604,SUCCESS,,,
v07d__inference__decision_tree__pairwise_correlation_filter_natural__s42__r03,v0.7-d-tier1-computational-1,V0.7-D,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,pairwise_correlation_filter_natural,42,inference,3,512,512,6000,3072000,42,3,9171,2.1704922080025426,2.3167313739999997,154.77734375,155.15234375,155.15234375,0.375,2016132,2016000,3764,0.004239242593754966,7.065404322924943e-07,1415347.168109438,seconds,MiB,bytes,records/second,DIRECT_COMPUTATIONAL,prediction_only_model_loading_warmup_excluded,DIRECT_COMPUTATIONAL,DERIVED,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b3be72469205a79a9108a40d882b3664ddfa94c799065684a04dd89542f3f6a2,c355fe6d1f8ed5557b3f94f48cd0c4400d9f4a6894f52916c79a7721a912eef6,71dc92b8a34db1bb3c2f55a69e56f43733544329128ec60c5cdbbce2445d1604,SUCCESS,,,
v07d__inference__decision_tree__pairwise_correlation_filter_natural__s42__r04,v0.7-d-tier1-computational-1,V0.7-D,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,pairwise_correlation_filter_natural,42,inference,4,512,512,6000,3072000,42,3,9174,5.687322429999767,6.165188980000001,154.7265625,155.2265625,155.2265625,0.5,2016132,2016000,3764,0.011108051621093296,1.8513419368488827e-06,540148.7321688785,seconds,MiB,bytes,records/second,DIRECT_COMPUTATIONAL,prediction_only_model_loading_warmup_excluded,DIRECT_COMPUTATIONAL,DERIVED,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b3be72469205a79a9108a40d882b3664ddfa94c799065684a04dd89542f3f6a2,c355fe6d1f8ed5557b3f94f48cd0c4400d9f4a6894f52916c79a7721a912eef6,71dc92b8a34db1bb3c2f55a69e56f43733544329128ec60c5cdbbce2445d1604,SUCCESS,,,
v07d__inference__decision_tree__pairwise_correlation_filter_natural__s42__r05,v0.7-d-tier1-computational-1,V0.7-D,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,pairwise_correlation_filter_natural,42,inference,5,512,512,6000,3072000,42,3,9180,1.0849494550020609,1.1409908830000002,154.6796875,155.0546875,155.0546875,0.375,2016132,2016000,3764,0.0021190419043009,3.531736507168167e-07,2831468.3101934595,seconds,MiB,bytes,records/second,DIRECT_COMPUTATIONAL,prediction_only_model_loading_warmup_excluded,DIRECT_COMPUTATIONAL,DERIVED,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b3be72469205a79a9108a40d882b3664ddfa94c799065684a04dd89542f3f6a2,c355fe6d1f8ed5557b3f94f48cd0c4400d9f4a6894f52916c79a7721a912eef6,71dc92b8a34db1bb3c2f55a69e56f43733544329128ec60c5cdbbce2445d1604,SUCCESS,,,
v07d__inference__decision_tree__pairwise_correlation_filter_natural__s42__r06,v0.7-d-tier1-computational-1,V0.7-D,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,pairwise_correlation_filter_natural,42,inference,6,512,512,6000,3072000,42,3,9183,1.0390103930003534,1.0908776880000004,154.6953125,155.0703125,155.0703125,0.375,2016132,2016000,3764,0.002029317173828815,3.382195289714692e-07,2956659.549024314,seconds,MiB,bytes,records/second,DIRECT_COMPUTATIONAL,prediction_only_model_loading_warmup_excluded,DIRECT_COMPUTATIONAL,DERIVED,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b3be72469205a79a9108a40d882b3664ddfa94c799065684a04dd89542f3f6a2,c355fe6d1f8ed5557b3f94f48cd0c4400d9f4a6894f52916c79a7721a912eef6,71dc92b8a34db1bb3c2f55a69e56f43733544329128ec60c5cdbbce2445d1604,SUCCESS,,,
v07d__inference__decision_tree__pairwise_correlation_filter_natural__s42__r07,v0.7-d-tier1-computational-1,V0.7-D,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,pairwise_correlation_filter_natural,42,inference,7,512,512,6000,3072000,42,3,9186,1.4530966769998486,1.5287633949999995,155.08203125,155.45703125,155.45703125,0.375,2016132,2016000,3764,0.0028380794472653292,4.730132412108882e-07,2114105.7223684783,seconds,MiB,bytes,records/second,DIRECT_COMPUTATIONAL,prediction_only_model_loading_warmup_excluded,DIRECT_COMPUTATIONAL,DERIVED,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b3be72469205a79a9108a40d882b3664ddfa94c799065684a04dd89542f3f6a2,c355fe6d1f8ed5557b3f94f48cd0c4400d9f4a6894f52916c79a7721a912eef6,71dc92b8a34db1bb3c2f55a69e56f43733544329128ec60c5cdbbce2445d1604,SUCCESS,,,
v07d__inference__decision_tree__pairwise_correlation_filter_natural__s42__r08,v0.7-d-tier1-computational-1,V0.7-D,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,pairwise_correlation_filter_natural,42,inference,8,512,512,6000,3072000,42,3,9189,1.5339050149996183,1.6233343430000002,154.65234375,155.15234375,155.15234375,0.5,2016132,2016000,3764,0.0029959082324211295,4.99318038736855e-07,2002731.570703395,seconds,MiB,bytes,records/second,DIRECT_COMPUTATIONAL,prediction_only_model_loading_warmup_excluded,DIRECT_COMPUTATIONAL,DERIVED,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b3be72469205a79a9108a40d882b3664ddfa94c799065684a04dd89542f3f6a2,c355fe6d1f8ed5557b3f94f48cd0c4400d9f4a6894f52916c79a7721a912eef6,71dc92b8a34db1bb3c2f55a69e56f43733544329128ec60c5cdbbce2445d1604,SUCCESS,,,
v07d__inference__decision_tree__pairwise_correlation_filter_natural__s42__r09,v0.7-d-tier1-computational-1,V0.7-D,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,pairwise_correlation_filter_natural,42,inference,9,512,512,6000,3072000,42,3,9192,2.3377927690016804,2.499703714,154.78515625,155.16015625,155.16015625,0.375,2016132,2016000,3764,0.004566001501956407,7.610002503260678e-07,1314060.0145289404,seconds,MiB,bytes,records/second,DIRECT_COMPUTATIONAL,prediction_only_model_loading_warmup_excluded,DIRECT_COMPUTATIONAL,DERIVED,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b3be72469205a79a9108a40d882b3664ddfa94c799065684a04dd89542f3f6a2,c355fe6d1f8ed5557b3f94f48cd0c4400d9f4a6894f52916c79a7721a912eef6,71dc92b8a34db1bb3c2f55a69e56f43733544329128ec60c5cdbbce2445d1604,SUCCESS,,,
v07d__inference__decision_tree__pairwise_correlation_filter_natural__s42__r10,v0.7-d-tier1-computational-1,V0.7-D,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,pairwise_correlation_filter_natural,42,inference,10,512,512,6000,3072000,42,3,9196,4.494564600998274,4.875748624,154.47265625,154.84765625,154.84765625,0.375,2016132,2016000,3764,0.008778446486324754,1.4630744143874589e-06,683492.2340014175,seconds,MiB,bytes,records/second,DIRECT_COMPUTATIONAL,prediction_only_model_loading_warmup_excluded,DIRECT_COMPUTATIONAL,DERIVED,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b3be72469205a79a9108a40d882b3664ddfa94c799065684a04dd89542f3f6a2,c355fe6d1f8ed5557b3f94f48cd0c4400d9f4a6894f52916c79a7721a912eef6,71dc92b8a34db1bb3c2f55a69e56f43733544329128ec60c5cdbbce2445d1604,SUCCESS,,,
